Plot,SiteCode,SiteCode_Plot,AcceptedGenus,AcceptedSpecies,NameCheck,Genus_Species_combo,PercentCoverAlive,PercentCoverDead,AbundanceAlive_count,AbundanceDead_count,MeanCanopyDiameter_cm,Clonal,SeasonallyApparent,Name,reflectance
T068,capepoint,capepoint_T068,Elegia,filacea,3486.0,Elegia filacea,42.5,6.75,245.0,63.0,41.25,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Berzelia,lanuginosa,1523.0,Berzelia lanuginosa,19.75,3.75,126.0,16.0,51.25,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,subdivaricata,4206.0,Erica subdivaricata,9.5,2.375,69.0,27.0,47.5,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,ericoides,3804.0,Erica ericoides,1.0,0.0,1.0,0.0,75.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,capensis,3711.0,Erica capensis,0.875,0.0,7.0,0.0,35.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,clavisepala,3735.0,Erica clavisepala,0.75,0.25,4.0,1.0,45.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Cliffortia,subsetacea,2304.0,Cliffortia subsetacea,0.25,0.0,1.0,0.0,40.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,gnaphaloides,3856.0,Erica gnaphaloides,0.25,0.4375,4.0,5.0,30.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,bruniades,3698.0,Erica bruniades,0.125,0.0,3.0,0.0,40.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T068,capepoint,capepoint_T068,Erica,muscosa,4013.0,Erica muscosa,0.125,0.0,1.0,0.0,35.0,no,1.0,T070; Berzelia lanuginosa; Restionaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T070,capepoint,capepoint_T070,Erica,hispidula,3886.0,Erica hispidula,16.75,0.0,45.0,0.0,55.0,no,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Erica,ericoides,3804.0,Erica ericoides,11.5,0.0,13.0,0.0,86.66666666666667,no,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Restio,cincinnatus,9501.0,Restio cincinnatus,7.5,0.0,18.0,0.0,50.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Watsonia,borbonica,11563.0,Watsonia borbonica,7.0,0.0,29.0,0.0,40.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Willdenowia,glomerata,11620.0,Willdenowia glomerata,5.75,0.0,28.0,0.0,36.66666666666666,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Tetraria,compar,10922.0,Tetraria compar,5.0,0.0,11.0,0.0,60.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Leucadendron,salignum,6721.0,Leucadendron salignum,4.5,0.0,12.0,0.0,46.66666666666666,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Leucospermum,conocarpodendron,6747.0,Leucospermum conocarpodendron,4.5,0.0,12.0,0.0,53.333333333333336,no,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Penaea,mucronata,8737.0,Penaea mucronata,2.75,0.0,13.0,0.0,40.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Elegia,juncea,3495.0,Elegia juncea,2.5,0.0,8.0,0.0,50.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Leucadendron,xanthoconus,6738.0,Leucadendron xanthoconus,1.25,0.0,1.0,0.0,90.0,no,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
