Plot,SiteCode,SiteCode_Plot,AcceptedGenus,AcceptedSpecies,NameCheck,Genus_Species_combo,PercentCoverAlive,PercentCoverDead,AbundanceAlive_count,AbundanceDead_count,MeanCanopyDiameter_cm,Clonal,SeasonallyApparent
T001,vrolijkheid,vrolijkheid_T001,Ruschia,caroli,9863,Ruschia caroli,16.25,0,65,0,46.25,no,1
T001,vrolijkheid,vrolijkheid_T001,Pentzia,incana,8811,Pentzia incana,15,0,38,0,41.666666666666664,no,1
T001,vrolijkheid,vrolijkheid_T001,Searsia,pallens,10133,Searsia pallens,13.75,0,1,0,216,no,1
T001,vrolijkheid,vrolijkheid_T001,Pteronia,paniculata,9366,Pteronia paniculata,10,0,26,0,60,no,1
T001,vrolijkheid,vrolijkheid_T001,Leipoldtia,schultzei,6589,Leipoldtia schultzei,3.75,0,18,0,32.5,no,1
T001,vrolijkheid,vrolijkheid_T001,Roepera,foetida,9716,Roepera foetida,2.5,0,1,0,147,no,1
T001,vrolijkheid,vrolijkheid_T001,Hermannia,incana,5650,Hermannia incana,1.25,0,9,0,35,no,1
T001,vrolijkheid,vrolijkheid_T001,Aloe,microstigma,438,Aloe microstigma,1,0,1,0,47,no,1
T002,vrolijkheid,vrolijkheid_T002,Hirpicium,integrifolium,5801,Hirpicium integrifolium,16.25,0,43,0,33,no,NA
T002,vrolijkheid,vrolijkheid_T002,Pteronia,paniculata,9366,Pteronia paniculata,8.75,4,22,20,33.75,no,NA
T002,vrolijkheid,vrolijkheid_T002,Ruschia,caroli,9863,Ruschia caroli,8.25,0,48,0,37.5,no,NA
T002,vrolijkheid,vrolijkheid_T002,Drosanthemum,speciosum,3375,Drosanthemum speciosum,3.25,0,8,0,27.5,no,NA
T002,vrolijkheid,vrolijkheid_T002,Euphorbia,burmanii,4460,Euphorbia burmanii,2.25,0,12,0,25,no,NA
T002,vrolijkheid,vrolijkheid_T002,Tetragonia,fruticosa,10898,Tetragonia fruticosa,2.25,0,5,0,45,no,NA
T002,vrolijkheid,vrolijkheid_T002,Leipoldtia,schultzei,6589,Leipoldtia schultzei,1.75,0,8,0,27.5,no,NA
T002,vrolijkheid,vrolijkheid_T002,Brianhuntleya,intrusa,1608,Brianhuntleya intrusa,1.25,0,3,0,25,no,NA
T002,vrolijkheid,vrolijkheid_T002,Ursinia,pilifera,11400,Ursinia pilifera,0.75,0,3,0,20,no,NA
T002,vrolijkheid,vrolijkheid_T002,Haworthia,pumila,5374,Haworthia pumila,0.5,0,8,0,10,no,NA
T002,vrolijkheid,vrolijkheid_T002,Chrysocoma,ciliata,2138,Chrysocoma ciliata,0.25,0,4,0,10,no,NA
T003,rooiberg,rooiberg_T003,Mesembryanthemum,tetragonum,7296,Mesembryanthemum tetragonum,15.5,NA,18,NA,122.5,no,NA
T003,rooiberg,rooiberg_T003,Galenia,papulosa,4821,Galenia papulosa,10.75,NA,40,NA,55,no,NA
T003,rooiberg,rooiberg_T003,Drosanthemum,NA,#N/A,Drosanthemum,7,NA,26,NA,52.5,no,NA
T003,rooiberg,rooiberg_T003,Lycium,NA,#N/A,Lycium,2.5,NA,2,NA,110,yes,NA
T003,rooiberg,rooiberg_T003,Atriplex,lindleyi,1347,Atriplex lindleyi,1.5,NA,10,NA,47.5,no,NA
T003,rooiberg,rooiberg_T003,Gymnosporia,szyszylowiczii,5281,Gymnosporia szyszylowiczii,1.5,NA,2,NA,77.5,yes,NA
T003,rooiberg,rooiberg_T003,Fingerhuthia,africana,4766,Fingerhuthia africana,1.25,NA,65,NA,13.5,no,NA
T003,rooiberg,rooiberg_T003,Mesembryanthemum,junceum,7253,Mesembryanthemum junceum,0.75,NA,2,NA,65,no,NA
T003,rooiberg,rooiberg_T003,Pteronia,camphorata,9334,Pteronia camphorata,0.5,NA,2,NA,47.5,no,NA
T003,rooiberg,rooiberg_T003,Euphorbia,mauritanica,4505,Euphorbia mauritanica,0.375,NA,1,NA,50,yes,NA
T003,rooiberg,rooiberg_T003,Justicia,cuneata,6222,Justicia cuneata,0.25,NA,1,NA,45,yes,NA
T003,rooiberg,rooiberg_T003,Malephora,latipetala,7078,Malephora latipetala,0.25,NA,2,NA,40,no,NA
T004,anysberg,anysberg_T004,Chrysocoma,ciliata,2138,Chrysocoma ciliata,15,0,145,NA,15.75,no,NA
T004,anysberg,anysberg_T004,Cynodon,dactylon,2779,Cynodon dactylon,10,0,96,NA,20,yes,NA
T004,anysberg,anysberg_T004,Acacia,karroo,9,Acacia karroo,7.25,0,2,NA,110,no,NA
T004,anysberg,anysberg_T004,Oncosiphon,suffruticosus,8019,Oncosiphon suffruticosus,6.25,0,124,NA,15,no,NA
T004,anysberg,anysberg_T004,Ehrharta,calycina,3442,Ehrharta calycina,4,0,75,NA,15,yes,NA
T004,anysberg,anysberg_T004,Lycium,NA,#N/A,Lycium,3.75,0,3,NA,90,no,NA
T004,anysberg,anysberg_T004,Ruschia,multiflora,9930,Ruschia multiflora,2.5,0,5,NA,29,no,NA
T004,anysberg,anysberg_T004,Galenia,africana,4807,Galenia africana,1.75,0,3,NA,53,no,NA
T004,anysberg,anysberg_T004,Drosanthemum,hispidum,3341,Drosanthemum hispidum,0.5,0,2,NA,20,no,NA
T007,anysberg,anysberg_T007,Ruschia,pungens,9950,Ruschia pungens,23.75,0,46,4,62.5,no,1
T007,anysberg,anysberg_T007,Melolobium,lampolobium,7200,Melolobium lampolobium,4.25,0,16,0,20,no,1
T007,anysberg,anysberg_T007,Eriocephalus,ericoides,4297,Eriocephalus ericoides,2.5,0,3,0,56,no,1
T007,anysberg,anysberg_T007,Drosanthemum,hispidum,3341,Drosanthemum hispidum,2.25,0,8,0,31.5,no,1
T007,anysberg,anysberg_T007,Drosanthemum,albiflorum,3297,Drosanthemum albiflorum,2,0,9,0,18.333333333333332,no,1
T007,anysberg,anysberg_T007,Galenia,africana,4807,Galenia africana,2,0,1,0,68,no,1
T007,anysberg,anysberg_T007,Mesembryanthemum,junceum,7253,Mesembryanthemum junceum,2,0,4,0,46.5,no,1
T007,anysberg,anysberg_T007,Hypertelis,salsoloides,5875,Hypertelis salsoloides,1.25,0,26,0,10,no,1
T007,anysberg,anysberg_T007,Galenia,papulosa,4821,Galenia papulosa,1,0,25,0,15,no,1
T007,anysberg,anysberg_T007,Chrysocoma,ciliata,2138,Chrysocoma ciliata,0.75,0,5,0,15,no,1
T007,anysberg,anysberg_T007,Stipagrostis,obtusa,10715,Stipagrostis obtusa,0.5,0,20,0,10,no,1
T009,agulhas,agulhas_T009,Stipagrostis,zeyheri,10719,Stipagrostis zeyheri,40,NA,104,NA,77.5,no,NA
T009,agulhas,agulhas_T009,Restio,eleocharis,9526,Restio eleocharis,16.5,NA,35,NA,75,yes,NA
T009,agulhas,agulhas_T009,Aspalathus,hispida,1067,Aspalathus hispida,13.75,NA,62,NA,47.5,yes,NA
T009,agulhas,agulhas_T009,Passerina,corymbosa,8513,Passerina corymbosa,11,NA,39,NA,53.333333333333336,no,NA
T009,agulhas,agulhas_T009,Agathosma,geniculata,200,Agathosma geniculata,1.75,NA,12,NA,70,no,NA
T012,Swartberg,Swartberg_T012,Pteridium,aquilinum,9320,Pteridium aquilinum,61.75,NA,102,NA,130,yes,NA
T012,Swartberg,Swartberg_T012,Stoebe,plumosa,10737,Stoebe plumosa,13.5,NA,81,NA,65,no,NA
T012,Swartberg,Swartberg_T012,Psoralea,pinnata,9275,Psoralea pinnata,5,NA,12,NA,90,no,NA
T012,Swartberg,Swartberg_T012,Protea,punctata,9183,Protea punctata,3,NA,1,NA,150,no,NA
T012,Swartberg,Swartberg_T012,Anthospermum,aethiopicum,654,Anthospermum aethiopicum,1.875,2,20,19,25,no,NA
T012,Swartberg,Swartberg_T012,Leucadendron,salignum,6721,Leucadendron salignum,0.5,NA,1,NA,45,yes,NA
T013,Swartberg,Swartberg_T013,Elegia,juncea,3495,Elegia juncea,11.75,NA,49,NA,46.25,yes,NA
T013,Swartberg,Swartberg_T013,Pentameris,distichophylla,8762,Pentameris distichophylla,10.5,NA,97,NA,30.5,yes,NA
T013,Swartberg,Swartberg_T013,Restio,gaudichaudianus,9536,Restio gaudichaudianus,8,NA,45,NA,52.5,yes,NA
T013,Swartberg,Swartberg_T013,Tenaxia,NA,#N/A,Tenaxia,5.75,NA,26,NA,45,yes,NA
